EMPRES-i Plus,,,,,,,,,,,,,,,,,,
Date downloaded: 07/07/2026 19:56,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,,
Disease: Contagious bovine pleuropneumonia,,,,,,,,,,,,,,,,,,
Region: Africa,,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Event.ID,Global.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
385791,UNFAO-LEG-385791,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kunene,ob_139054 - Okapundja,-18.14,14.09,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,01/07/2024,03/09/2024,,
379450,UNFAO-LEG-379450,Contagious bovine pleuropneumonia,,Africa,Eastern Africa,Zambia,Central,Chisamba District,-14.97527,28.47255,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,30/04/2024,27/05/2024,,
372323,UNFAO-LEG-372323,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Oshikoto,Okambuga,-18.34,16.68,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/12/2023,05/02/2024,,
364098,UNFAO-LEG-364098,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Mantenya,-17.9,20.06,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,26/05/2023,06/10/2023,,
364099,UNFAO-LEG-364099,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kunene,Etoto,-17.59,14.06,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,26/05/2023,06/10/2023,,
333507,UNFAO-LEG-333507,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Eendaadi,-17.49,16.15,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,14/10/2022,17/10/2022,,
333199,UNFAO-LEG-333199,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,Eloela,-17.56,14.97,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,06/10/2022,11/10/2022,,
333364,UNFAO-LEG-333364,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Okashushwena,-17.54,17.62,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/10/2022,13/10/2022,,
333508,UNFAO-LEG-333508,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Okakongo Kaerobi,-17.73,17.27,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/10/2022,17/10/2022,,
333509,UNFAO-LEG-333509,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Omupini,-17.66,17.48,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/10/2022,17/10/2022,,
333510,UNFAO-LEG-333510,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Okongo,-17.57,17.22,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/10/2022,17/10/2022,,
332869,UNFAO-LEG-332869,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Oshikoto,Amuupa,-17.81,16.06,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/09/2022,06/10/2022,,
333365,UNFAO-LEG-333365,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kunene,ETOTO,-17.59,14.06,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/09/2022,13/10/2022,,
333363,UNFAO-LEG-333363,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,OLUSATI,-17.57,14.66,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,21/09/2022,13/10/2022,,
332192,UNFAO-LEG-332192,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Gava,-17.94,18.44,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,08/09/2022,26/09/2022,,
333200,UNFAO-LEG-333200,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,Oshikulufitu,-17.54,15.15,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,06/09/2022,11/10/2022,,
334179,UNFAO-LEG-334179,Contagious bovine pleuropneumonia,,Africa,Eastern Africa,Zambia,Central,Mwachisompola Veterinary Camp  Chisamba District  Central Province,-15.01,28.1529,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,01/09/2022,28/10/2022,,
332155,UNFAO-LEG-332155,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Kaakuwa,-17.92,18.57,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,18/08/2022,23/09/2022,,
332156,UNFAO-LEG-332156,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Sikondo,-17.87,19.62,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,18/08/2022,23/09/2022,,
333198,UNFAO-LEG-333198,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,Amaupa,-18.05,14.55,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,12/08/2022,11/10/2022,,
333201,UNFAO-LEG-333201,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,Omusati,-17.95,15.16,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,12/08/2022,11/10/2022,,
325981,UNFAO-LEG-325981,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Oshikoto,Omutwewomendi,-18.3396,16.6577,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,27/06/2022,01/07/2022,,
332153,UNFAO-LEG-332153,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Ohalushu,-17.64,15.87,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,09/06/2022,26/09/2022,,
332154,UNFAO-LEG-332154,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Ekonghola,-17.62,15.86,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,09/06/2022,26/09/2022,,
325200,UNFAO-LEG-325200,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Ohangwena,Oshandi,-17.51,16.12,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,16/05/2022,22/06/2022,,
330422,UNFAO-LEG-330422,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,MAYENZERE,-17.84,19.19,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,11/03/2022,17/03/2022,,
330423,UNFAO-LEG-330423,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,sau,-18.06,19.19,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,11/03/2022,18/03/2022,,
330424,UNFAO-LEG-330424,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Erago,-18.2,19.28,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,28/02/2022,18/03/2022,,
304155,UNFAO-LEG-304155,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,Onesi,-17.58,14.68,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,13/08/2021,24/09/2021,,
304156,UNFAO-LEG-304156,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Omusati,Okafitukakahumbi,-17.58,15.04,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,11/08/2021,24/09/2021,,
284471,UNFAO-LEG-284471,Contagious bovine pleuropneumonia,,Africa,Western Africa,Niger,Tillaberi,Ingari,14.0649,1.8409,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,03/12/2020,15/12/2020,,
254712,UNFAO-LEG-254712,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Nkurenkuru,-17.62,18.61,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,20/05/2019,26/06/2019,,
239430,UNFAO-LEG-239430,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Musese,-17.83,18.98,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,08/06/2018,31/08/2018,,
239429,UNFAO-LEG-239429,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Masivi,-17.89,19.41,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,01/05/2018,31/08/2018,,
239428,UNFAO-LEG-239428,Contagious bovine pleuropneumonia,,Africa,Southern Africa,Namibia,Kavango,Musese,-17.83,18.98,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,01/04/2018,31/08/2018,,
226675,UNFAO-LEG-226675,Contagious bovine pleuropneumonia,,Africa,Eastern Africa,Zambia,Southern,Makononga Village,-17.7115,25.1914,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,06/04/2017,21/04/2017,,
224030,UNFAO-LEG-224030,Contagious bovine pleuropneumonia,,Africa,Western Africa,Gambia,Central River,Central River Region,13.647846,-15.084603,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,15/09/2016,21/02/2017,,
208504,UNFAO-LEG-208504,Contagious bovine pleuropneumonia,,Africa,Western Africa,Mauritania,Gorgol,Gorgol,15.543,-12.851,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,20/10/2015,13/11/2015,,
207734,UNFAO-LEG-207734,Contagious bovine pleuropneumonia,,Africa,Western Africa,Senegal,Saint louis,Gamadji Saré,16.3681,-14.8267,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,15/09/2015,05/10/2015,,
