EMPRES-i Plus,,,,,,,,,,,,,,,,,,
Date downloaded: 07/07/2026 19:59,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,,
Disease: Lumpy skin disease,,,,,,,,,,,,,,,,,,
Region: Africa,,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Event.ID,Global.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
425185,UNFAO-LEG-425185,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Jendouba,175973AIN DEFALI,36.484467,9.057254,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,11/11/2025,26/12/2025,,
425186,UNFAO-LEG-425186,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Siliana,175972OULED FRADJ,36.085081,9.578157,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,24/10/2025,26/12/2025,,
425187,UNFAO-LEG-425187,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Siliana,175971BARGOU,36.09357,9.570189,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,14/10/2025,26/12/2025,,
425189,UNFAO-LEG-425189,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,175968BORJ EL AMRI,36.7174,9.8849,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,27/08/2025,26/12/2025,,
425188,UNFAO-LEG-425188,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,175970SIDI NASER,36.674451,9.600117,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/08/2025,26/12/2025,,
425190,UNFAO-LEG-425190,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,175969ZELDOU,36.597012,9.260937,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,13/08/2025,26/12/2025,,
413466,UNFAO-LEG-413466,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163440CITÉ 26 FÉVRIER,36.547478,9.444491,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,03/08/2025,26/08/2025,,
413468,UNFAO-LEG-413468,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163438ZELDOU,36.574737,9.390056,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,29/07/2025,26/08/2025,,
413469,UNFAO-LEG-413469,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163437ZELDOU,36.569655,9.383523,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,27/07/2025,26/08/2025,,
413467,UNFAO-LEG-413467,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163439ZELDOU,36.570638,9.382094,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,01/07/2025,26/08/2025,,
413472,UNFAO-LEG-413472,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163434HIDOUSS,36.741155,9.588919,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,12/06/2025,26/08/2025,,
413470,UNFAO-LEG-413470,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163436HIDOUSS,36.74346,9.590416,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,09/06/2025,26/08/2025,,
413471,UNFAO-LEG-413471,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163435EL GAMMARDHI,36.5162,9.667738,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,09/06/2025,26/08/2025,,
413475,UNFAO-LEG-413475,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163429MEZOUGHA,36.619746,9.346312,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,07/06/2025,26/08/2025,,
413474,UNFAO-LEG-413474,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163431OULED SELAMA,36.514953,9.484521,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/06/2025,26/08/2025,,
413478,UNFAO-LEG-413478,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,163424MORNAGUIA,36.753233,10.021347,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,30/05/2025,26/08/2025,,
413477,UNFAO-LEG-413477,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163425EL HERI,36.641747,9.623254,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/05/2025,26/08/2025,,
413480,UNFAO-LEG-413480,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163422KALAAT EL ANDALOUS EST,37.042662,10.165344,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/05/2025,26/08/2025,,
413481,UNFAO-LEG-413481,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163421CHOTRANA,36.898229,10.220771,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/05/2025,26/08/2025,,
413485,UNFAO-LEG-413485,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,163417EL KESSIBI,36.613736,10.274483,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/05/2025,26/08/2025,,
413489,UNFAO-LEG-413489,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Zaghouan,163413DEGHAFLA EST,36.176234,10.107549,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/05/2025,26/08/2025,,
413476,UNFAO-LEG-413476,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,163426ESSALEM,36.624997,10.227595,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,20/05/2025,26/08/2025,,
413482,UNFAO-LEG-413482,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163420BEJAOUA,36.889159,10.010745,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,19/05/2025,26/08/2025,,
413488,UNFAO-LEG-413488,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,163414KABOUTI,36.678207,10.291308,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,19/05/2025,26/08/2025,,
413479,UNFAO-LEG-413479,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163423BOU HANACH,36.9784,10.134456,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,16/05/2025,26/08/2025,,
413483,UNFAO-LEG-413483,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,163419NAASSEN,36.709658,10.166487,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,16/05/2025,26/08/2025,,
413473,UNFAO-LEG-413473,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163433ES-SLOUGHIA,36.577383,9.511739,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,15/05/2025,26/08/2025,,
413490,UNFAO-LEG-413490,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,163412BORJ EL AMRI,36.717311,9.864654,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,12/05/2025,26/08/2025,,
413496,UNFAO-LEG-413496,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163358KAALAT EL ANDALOUS EST,37.059909,10.135721,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,04/05/2025,26/08/2025,,
413495,UNFAO-LEG-413495,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163359KALAAT EL ANDALOUS EST,37.057898,10.133103,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,03/05/2025,26/08/2025,,
413486,UNFAO-LEG-413486,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Bizerte,163416AIN GHLEL,37.009019,9.864461,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,02/05/2025,26/08/2025,,
413494,UNFAO-LEG-413494,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Bizerte,163360BACH HAMBA,36.961697,9.956708,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,02/05/2025,26/08/2025,,
413493,UNFAO-LEG-413493,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,163409MANOUBA,36.823939,10.064167,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,01/05/2025,26/08/2025,,
413491,UNFAO-LEG-413491,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Bizerte,163411SIDI OTHMEN,36.96338,9.924941,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,30/04/2025,26/08/2025,,
413497,UNFAO-LEG-413497,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,163356EL MELAHA,36.838949,9.593244,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,30/04/2025,26/08/2025,,
413492,UNFAO-LEG-413492,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,163410CHELA,36.709483,10.300121,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/04/2025,26/08/2025,,
413498,UNFAO-LEG-413498,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,163355EL MELAHA,36.839884,9.590573,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/04/2025,26/08/2025,,
413500,UNFAO-LEG-413500,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163354ELMAJLESS,36.7733,9.076659,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/04/2025,26/08/2025,,
413513,UNFAO-LEG-413513,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163341CAP NEGRO,37.102084,8.98572,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,23/04/2025,26/08/2025,,
413487,UNFAO-LEG-413487,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Bizerte,163415BACH HAMBA,36.970556,9.960551,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/04/2025,26/08/2025,,
413504,UNFAO-LEG-413504,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Sfax,163350CHALEB,35.070484,10.390896,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,21/04/2025,26/08/2025,,
413484,UNFAO-LEG-413484,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,163418CHEBADA,36.698391,10.175506,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,20/04/2025,26/08/2025,,
413499,UNFAO-LEG-413499,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,163357EL MELAHA,36.839082,9.590315,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,20/04/2025,26/08/2025,,
413505,UNFAO-LEG-413505,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Sfax,163349CHALEB,35.070484,10.390896,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,19/04/2025,26/08/2025,,
413506,UNFAO-LEG-413506,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Zaghouan,163348FAHS,36.366716,9.909361,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,16/04/2025,26/08/2025,,
413507,UNFAO-LEG-413507,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Sfax,163347EL HAJEB,34.668948,10.627921,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,07/04/2025,26/08/2025,,
413502,UNFAO-LEG-413502,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163352ZAHRET MEDYEN,36.758452,9.08937,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,22/02/2025,26/08/2025,,
413501,UNFAO-LEG-413501,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163353ROMDHANIA,36.763514,9.10253,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,09/02/2025,26/08/2025,,
413503,UNFAO-LEG-413503,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Sidi Bouz,163351ESSAHLA,34.8355,9.115387,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,03/02/2025,26/08/2025,,
413512,UNFAO-LEG-413512,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Beja,163342GHAYADHA,36.94554,9.169453,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,13/01/2025,26/08/2025,,
413511,UNFAO-LEG-413511,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Mahdia,163343EL HKAIMA EST,35.468139,10.894417,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,09/01/2025,26/08/2025,,
401765,UNFAO-LEG-401765,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,152757SIDI FRADJ,36.869481,10.251934,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,06/01/2025,07/03/2025,,
401766,UNFAO-LEG-401766,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,152756HAY CHAKER,36.944992,10.163225,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,06/01/2025,07/03/2025,,
413508,UNFAO-LEG-413508,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163346SOUKRA,36.88645,10.215523,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/01/2025,26/08/2025,,
413509,UNFAO-LEG-413509,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163345SOUKRA,36.886348,10.215644,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/01/2025,26/08/2025,,
413510,UNFAO-LEG-413510,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,163344RAOUED,36.959761,10.199413,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,05/01/2025,26/08/2025,,
401767,UNFAO-LEG-401767,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,152755SIDI FRADJ,36.871617,10.256546,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,04/01/2025,07/03/2025,,
401768,UNFAO-LEG-401768,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,152754ELGHAZALA,36.935933,10.167273,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,02/01/2025,07/03/2025,,
401762,UNFAO-LEG-401762,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,152760SAIDIA,36.819507,9.971867,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,30/12/2024,07/03/2025,,
401772,UNFAO-LEG-401772,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,152732SIDI FRADJ,36.87747,10.254132,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,30/12/2024,07/03/2025,,
401763,UNFAO-LEG-401763,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ben Arous,152759MORNEG,36.664611,10.301222,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,28/12/2024,07/03/2025,,
401769,UNFAO-LEG-401769,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,152735MENZEL HABIB,36.71477,9.878114,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,28/12/2024,07/03/2025,,
401787,UNFAO-LEG-401787,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Manouba,152710BORJ EL AMRI,36.721208,9.88884,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,28/12/2024,07/03/2025,,
401826,UNFAO-LEG-401826,Lumpy skin disease,,Africa,Northern Africa,Tunisia,Ariana,152653KALAAT ANDALOUS EST,37.0262,10.169612,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,27/12/2024,07/03/2025,,
