EMPRES-i Plus,,,,,,,,,,,,,,,,,,
Date downloaded: 07/07/2026 20:02,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,,
Disease: Peste des petits ruminants,,,,,,,,,,,,,,,,,,
Region: Africa,,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Event.ID,Global.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
51140,UNFAO-HQ-51140,Peste des petits ruminants,,Africa,Northern Africa,Libya,,191765ALJALIDA,32.5758,12.8701,WOAH (former OIE),Confirmed,Domestic - Goats,Domestic - Goats,10/06/2026,29/06/2026,,
401995,UNFAO-LEG-401995,Peste des petits ruminants,,Africa,Western Africa,Burkina Faso,Nord,152876 SECTEUR 10,13.5749,-2.4164,WOAH (former OIE),Confirmed,Domestic - Goats,Domestic - Goats,18/02/2025,10/03/2025,,
363688,UNFAO-LEG-363688,Peste des petits ruminants,,Africa,Eastern Africa,Rwanda,East/Iburasirazuba,Kayonza/Ndego,-2.0066,30.773,WOAH (former OIE),Confirmed,Domestic - Goats,Domestic - Goats,14/08/2023,02/10/2023,,
336723,UNFAO-LEG-336723,Peste des petits ruminants,,Africa,Northern Africa,Morocco,Rabat - Salé - Zemmour - Zaer,Skhirat Témara,33.843391,-7.076823,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,22/11/2022,02/12/2022,,
329618,UNFAO-LEG-329618,Peste des petits ruminants,,Africa,Northern Africa,Algeria,M'Sila,Sidi Aissa,35.8832,3.7793,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,03/08/2022,21/08/2022,,
329620,UNFAO-LEG-329620,Peste des petits ruminants,,Africa,Northern Africa,Algeria,El Bayadh,Rogassa,33.9404,0.9477,WOAH (former OIE),Confirmed,Domestic - Sheep,Domestic - Sheep,20/07/2022,21/08/2022,,
329621,UNFAO-LEG-329621,Peste des petits ruminants,,Africa,Northern Africa,Algeria,El Bayadh,kef el ahmar,33.8125,0.659,WOAH (former OIE),Confirmed,Domestic - Sheep,Domestic - Sheep,20/07/2022,21/08/2022,,
329615,UNFAO-LEG-329615,Peste des petits ruminants,,Africa,Northern Africa,Algeria,El Bayadh,Bougtoub,34.025,0.1583,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,17/07/2022,21/08/2022,,
329616,UNFAO-LEG-329616,Peste des petits ruminants,,Africa,Northern Africa,Algeria,El Bayadh,Kef El Ahmar,33.8248,0.639,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,17/07/2022,21/08/2022,,
329617,UNFAO-LEG-329617,Peste des petits ruminants,,Africa,Northern Africa,Algeria,El Bayadh,Rogassa,33.9452,0.9409,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,14/07/2022,21/08/2022,,
329619,UNFAO-LEG-329619,Peste des petits ruminants,,Africa,Northern Africa,Algeria,El Bayadh,Rogassa,33.9592,0.9396,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,14/07/2022,21/08/2022,,
327432,UNFAO-LEG-327432,Peste des petits ruminants,,Africa,Northern Africa,Algeria,Laghouat,El Assafia,33.8187,2.994,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,13/07/2022,21/07/2022,,
327433,UNFAO-LEG-327433,Peste des petits ruminants,,Africa,Northern Africa,Algeria,Tebessa,Guorriguer,35.4222,7.5833,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,13/07/2022,21/07/2022,,
327429,UNFAO-LEG-327429,Peste des petits ruminants,,Africa,Northern Africa,Algeria,Tebessa,Thelidjene,35.0727,7.7594,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,12/07/2022,21/07/2022,,
327428,UNFAO-LEG-327428,Peste des petits ruminants,,Africa,Northern Africa,Algeria,Tebessa,bir el ater,34.727,8.0622,WOAH (former OIE),Confirmed,Domestic - Goats | Domestic - Sheep,Domestic - Goats | Domestic - Sheep,11/07/2022,21/07/2022,,
