EMPRES-i Plus,,,,,,,,,,,,,,,,,,
Date downloaded: 07/07/2026 20:04,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,,
Disease: Rift Valley fever,,,,,,,,,,,,,,,,,,
Region: Africa,,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Event.ID,Global.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
49919,UNFAO-HQ-49919,Rift Valley fever,,Africa,Eastern Africa,Malawi,Southern Region,191198KHONJENI,-16.0323,35.2437,WOAH (former OIE),Confirmed,Domestic - Cattle | Domestic - Goats,Domestic - Cattle | Domestic - Goats,29/05/2026,17/06/2026,,
48171,UNFAO-HQ-48171,Rift Valley fever,,Africa,Eastern Africa,Malawi,Southern Region,190101THUCHILA,-15.9106,35.4048,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,21/04/2026,30/05/2026,,
46060,UNFAO-HQ-46060,Rift Valley fever,,Africa,Eastern Africa,Malawi,Southern Region,188965THUMBWE,-15.7734,35.2383,WOAH (former OIE),Confirmed,Domestic - Cattle | Domestic - Goats,Domestic - Cattle | Domestic - Goats,22/02/2026,12/05/2026,,
421574,UNFAO-LEG-421574,Rift Valley fever,,Africa,Western Africa,Senegal,Saint louis,172500QUARTIER KHAR YALAH,16.499767,-15.810685,WOAH (former OIE),Confirmed,Domestic - Goats,Domestic - Goats,25/11/2025,29/11/2025,,
421575,UNFAO-LEG-421575,Rift Valley fever,,Africa,Western Africa,Senegal,Dakar,172499CITÉ FAYÇAL,14.77162,-17.413915,WOAH (former OIE),Confirmed,Domestic - Cattle,Domestic - Cattle,25/11/2025,29/11/2025,,
421576,UNFAO-LEG-421576,Rift Valley fever,,Africa,Western Africa,Senegal,Louga,172498MÉKHÉ,15.720473,-16.459799,WOAH (former OIE),Confirmed,Domestic - Small Ruminant,Domestic - Small Ruminant,25/11/2025,29/11/2025,,
420771,UNFAO-LEG-420771,Rift Valley fever,,Africa,Western Africa,Senegal,Kaffrine,171282MBEGUÉ,14.432044,-15.65279,WOAH (former OIE),Confirmed,Domestic - Sheep,Domestic - Sheep,18/11/2025,21/11/2025,,
420772,UNFAO-LEG-420772,Rift Valley fever,,Africa,Western Africa,Senegal,Tambacounda,171281LALLY,14.112601,-12.164325,WOAH (former OIE),Confirmed,Domestic - Sheep,Domestic - Sheep,18/11/2025,21/11/2025,,
420773,UNFAO-LEG-420773,Rift Valley fever,,Africa,Western Africa,Senegal,Fatick,171280SADIOGUE,14.043187,-16.386128,WOAH (former OIE),Confirmed,Domestic - Goats,Domestic - Goats,18/11/2025,21/11/2025,,
420774,UNFAO-LEG-420774,Rift Valley fever,,Africa,Western Africa,Senegal,Tambacounda,171279BELE,14.409836,-12.299963,WOAH (former OIE),Confirmed,Domestic - Small Ruminant,Domestic - Small Ruminant,18/11/2025,21/11/2025,,
