Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2005","2005","1000 ha","3035440.8203","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2006","2006","1000 ha","3035437.795","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2007","2007","1000 ha","3035434.5777","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2008","2008","1000 ha","3035436.2479","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2009","2009","1000 ha","3035437.48","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2010","2010","1000 ha","3035436.9478","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2011","2011","1000 ha","3035461.5019","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2012","2012","1000 ha","3037368.165","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2013","2013","1000 ha","3037365.9508","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2014","2014","1000 ha","3037364.6015","A","Official figure",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2015","2015","1000 ha","3037370.0605","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2016","2016","1000 ha","3037368.7944","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2017","2017","1000 ha","3037368.2218","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2018","2018","1000 ha","3037368.8387","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2019","2019","1000 ha","3037366.4206","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2020","2020","1000 ha","3038521.4287","B","Time series break",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2021","2021","1000 ha","3038534.976","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2022","2022","1000 ha","3038535.276","E","Estimated value",""
"RL","Land Use","002","Africa","5110","Area","6600","Country area","2023","2023","1000 ha","3038535.676","E","Estimated value",""
