Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2005","2005","An","258891623","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2006","2006","An","264284104","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2007","2007","An","277048693","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2008","2008","An","285864650","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2009","2009","An","291213643","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2010","2010","An","298260837","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2011","2011","An","304823464","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2012","2012","An","315679986","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2013","2013","An","321258346","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2014","2014","An","328096666","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2015","2015","An","335594816","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2016","2016","An","343616181","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2017","2017","An","344958727","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2018","2018","An","353589548","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2019","2019","An","362795817","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2020","2020","An","375275873","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2021","2021","An","375390146","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2022","2022","An","378331734","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2023","2023","An","391506850","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02111","Cattle","2024","2024","An","398736998","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5112","Stocks","02151","Chickens","2005","2005","1000 An","1319806","E","Estimated value",""
